i roll pitch yaw
434 -0.5909178 0.06314804 0.7277607 
435 -0.592694 0.06322034 0.7290544 
436 -0.59415954 0.063279994 0.73012185 
437 -0.5962957 0.06336694 0.7316778 
438 -0.59800404 0.06343648 0.7329221 
439 -0.59855604 0.06347496 0.7338628 
440 -0.59910417 0.063513175 0.734797 
441 -0.5998664 0.06356631 0.7360961 
442 -0.6004104 0.063604236 0.7370233 
443 -0.6010916 0.063651726 0.7381844 
444 -0.6017524 0.06369779 0.7393106 
445 -0.6035853 0.06475297 0.74077773 
446 -0.60529876 0.065739386 0.74214923 
447 -0.60672104 0.06655818 0.7432877 
448 -0.60895956 0.06784684 0.7450794 
449 -0.6114188 0.06926258 0.74704784 
450 -0.6129617 0.07015081 0.74828285 
451 -0.61282194 0.069224484 0.74738675 
452 -0.61269146 0.06835988 0.7465504 
453 -0.61253726 0.067338 0.74556184 
454 -0.6124198 0.06655956 0.7448088 
455 -0.6122938 0.065724656 0.74400115 
456 -0.6121368 0.064684 0.7429944 
457 -0.6119729 0.06359799 0.74194384 
458 -0.6140849 0.06673989 0.74055326 
459 -0.6231536 0.059008658 0.7168377 
460 -0.62466544 0.05771983 0.71288425 
461 -0.62571836 0.056822203 0.71013075 
462 -0.62684345 0.05586302 0.7071884 
463 -0.6278869 0.05497346 0.7044597 
464 -0.6294894 0.05360729 0.700269 
465 -0.63140154 0.0541357 0.69837457 
466 -0.6334049 0.05468933 0.69638973 
467 -0.6361691 0.0554532 0.6936512 
468 -0.63882643 0.056187548 0.6910185 
469 -0.6407243 0.056712028 0.68913823 
470 -0.6429174 0.05731809 0.68696547 
471 -0.6427472 0.06112702 0.68269277 
472 -0.64262325 0.0639026 0.67957926 
473 -0.6425353 0.06587039 0.67737186 
474 -0.64238286 0.0692841 0.6735425 
475 -0.642272 0.07176599 0.6707584 
476 -0.6421528 0.074434206 0.6677653 
477 -0.64205617 0.07659775 0.66533834 
478 -0.6430221 0.07591882 0.6634233 
479 -0.643741 0.07541357 0.66199815 
480 -0.64479166 0.07467514 0.65991527 
481 -0.64547575 0.07419436 0.65855914 
482 -0.6477533 0.0725936 0.654044 
483 -0.64890313 0.07066972 0.65072376 
484 -0.64946914 0.06972266 0.64908934 
485 -0.6500184 0.0688036 0.64750326 
486 -0.6506846 0.06768894 0.6455796 
487 -0.6515068 0.06631322 0.6432054 
488 -0.65592605 0.06686493 0.6358214 
489 -0.6565976 0.06694877 0.6346993 
490 -0.6571207 0.067014076 0.6338253 
491 -0.6578106 0.067100205 0.63267255 
492 -0.65827954 0.067158744 0.6318891 
493 -0.66104376 0.06429106 0.6313884 
494 -0.6628337 0.062434137 0.6310642 
495 -0.6646129 0.060588323 0.6307419 
496 -0.66776824 0.057314847 0.63017035 
497 -0.66990846 0.05509454 0.6297827 
498 -0.66984886 0.061423708 0.6295386 
499 -0.6697965 0.0669781 0.6293244 
500 -0.6697366 0.073333606 0.6290792 
501 -0.6696632 0.08112811 0.6287786 
502 -0.6695976 0.088087924 0.6285101 
503 -0.66974294 0.08910103 0.62812376 
504 -0.6699664 0.09065866 0.62752974 
505 -0.67022175 0.09243867 0.6268509 
506 -0.67039335 0.09363508 0.6263946 
507 -0.67062205 0.09522945 0.6257866 
508 -0.6720121 0.094541565 0.62497187 
509 -0.67365515 0.09372849 0.62400883 
510 -0.6754898 0.09282059 0.6229335 
511 -0.6770415 0.09205271 0.622024 
512 -0.6782556 0.091451876 0.6213124 
513 -0.6800844 0.09339817 0.6193669 
514 -0.6818079 0.09523236 0.61753345 
515 -0.684538 0.098137945 0.61462903 
516 -0.6868218 0.10056854 0.6121994 
517 -0.68888867 0.1027682 0.61000067 
518 -0.69016033 0.10362692 0.6087754 
519 -0.6910927 0.104256526 0.607877 
520 -0.69228756 0.105063364 0.60672575 
521 -0.6931692 0.10565868 0.6058763 
522 -0.694188 0.10634666 0.60489464 
523 -0.69505626 0.10760507 0.60518914 
524 -0.69603974 0.10903049 0.60552275 
525 -0.6965719 0.10980176 0.6057033 
526 -0.697334 0.11090628 0.6059618 
527 -0.69927186 0.10755981 0.6125796 
528 -0.70101756 0.10454519 0.6185411 
529 -0.702482 0.10201628 0.6235422 
530 -0.7038386 0.09967355 0.6281751 
531 -0.7061369 0.09570463 0.6360238 
532 -0.7074802 0.09338481 0.64061135 
533 -0.70891553 0.094225086 0.64457566 
534 -0.71129596 0.09561864 0.6511502 
535 -0.7132809 0.096780695 0.6566326 
536 -0.71472937 0.097628675 0.6606332 
537 -0.7190914 0.100182325 0.672681 
538 -0.7209731 0.10128389 0.677878 
539 -0.7226109 0.098762795 0.68242663 
540 -0.72505367 0.09500258 0.68921083 
541 -0.72759986 0.09108322 0.6962822 
542 -0.72990066 0.08754158 0.70267206 
543 -0.73180217 0.08461459 0.707953 
544 -0.7341981 0.08092656 0.71460694 
545 -0.7328476 0.08089779 0.73407364 
546 -0.7315948 0.080871105 0.75213134 
547 -0.73026216 0.08084272 0.7713401 
548 -0.72898674 0.080815546 0.7897241 
549 -0.7276373 0.0807868 0.8091746 
550 -0.726363 0.08075966 0.827542 
551 -0.7309744 0.07882286 0.8532557 
552 -0.7367999 0.07637611 0.8857397 
553 -0.74278516 0.07386227 0.9191144 
554 -0.74924386 0.071149565 0.95512927 
555 -0.7549918 0.068735376 0.98718095 
556 -0.7596396 0.06678328 1.0130978 
557 -0.759753 0.07209254 1.0750272 
558 -0.75981396 0.07494979 1.1083555 
559 -0.7598563 0.07693282 1.1314864 
560 -0.75993794 0.08075679 1.1760908 
561 -0.75998354 0.08289269 1.2010049 
562 -0.7587522 0.08512857 1.2215655 
563 -0.75695956 0.08838379 1.2514998 
564 -0.7555237 0.09099118 1.2754768 
565 -0.75334775 0.094942406 1.3118114 
566 -0.75159764 0.09812038 1.3410355 
567 -0.75038165 0.100328505 1.361341 
568 -0.7521084 0.097396806 1.3872308 
569 -0.7538194 0.0944918 1.4128848 
570 -0.7563401 0.09021213 1.4506786 
571 -0.75811964 0.08719077 1.4773602 
572 -0.76120037 0.08196027 1.5235507 
573 -0.7647755 0.08780144 1.5611359 
574 -0.7695292 0.08844411 1.727048 
575 -0.77062654 0.088592455 1.7653471 
