i steerAngle sensorAngle maxSpeed sensorSpeed cameraPosX cameraPosY cameraPosZ cameraOriX cameraOriY cameraOriZ cameraOriW imuGyroX imuGyroY imuGyroZ imuAccX imuAccY imuAccZ imuMagX imuMagY imuMagZ deltaTime cameraConfidence
69 0 0 19.5 0.0 0.0009718992 0.00011130345 8.258222e-6 5.6903275e-5 0.00012207031 0.00012207031 -0.0 1.0 -0.026095465 0.0018325957 -0.019528663 0.01443 0.0544 1.0177 0.16854 0.04422 0.26086 0.030710936 0.88
70 0 0 20.0 0.0 0.0009832666 0.00012216326 1.22591155e-5 1.6222248e-5 0.0 0.0 -0.0 1.0 -0.026095465 0.0018325957 -0.019528663 0.01443 0.0544 1.0177 0.16854 0.04422 0.26086 0.027525902 0.88
71 0 0 20.5 0.0 0.0010390066 0.0001490001 -2.6158476e-5 7.282219e-5 0.0 0.0 -0.0 1.0 -0.026095465 0.0018325957 -0.019528663 0.01443 0.0544 1.0177 0.16854 0.04422 0.26086 0.029883146 0.87
72 0 0 21.0 0.0 0.0010393204 0.00014999993 -2.1894251e-5 4.391091e-6 0.0 0.0 -0.0 1.0 -0.026114488 0.002004336 -0.019700404 0.01347 0.05247 1.01764 0.17063 0.04498 0.26437 0.029904842 0.88
73 0 0 21.5 0.0 0.0010824046 0.00015957058 -1.6280863e-5 4.4490007e-5 0.0 0.0 -0.0 1.0 -0.026114488 0.002004336 -0.019700404 0.01347 0.05247 1.01764 0.17063 0.04498 0.26437 0.030730963 0.87
74 0 0 21.5 0.0 0.0011702824 0.00017711804 7.45334e-5 0.0001275839 0.00012207031 0.00017263349 -0.00012207031 0.99999994 -0.026114488 0.002004336 -0.019700404 0.01347 0.05247 1.01764 0.17063 0.04498 0.26437 0.03155017 0.81
75 0 0 21.5 0.0 0.001754559 0.00030246904 0.00014031175 0.0006011812 0.00034526698 0.00034526698 -0.00017263349 0.9999999 -0.026114488 0.002004336 -0.019700404 0.01347 0.05247 1.01764 0.17063 0.04498 0.26437 0.02786398 0.72
76 0 0 21.5 0.0 0.0024321084 0.0004118576 0.00016727073 0.0006868521 0.00048828125 0.00034526698 -0.00017263349 0.9999998 -0.026114488 0.002004336 -0.019700404 0.01347 0.05247 1.01764 0.17063 0.04498 0.26437 0.0290699 0.69
77 0 0 21.5 0.0 0.0042366693 0.0008130695 0.00020629045 0.0018490357 0.00066860666 0.00029901 -0.00024414062 0.9999997 -0.026114488 0.002004336 -0.019700404 0.01347 0.05247 1.01764 0.17063 0.04498 0.26437 0.029781103 0.66
78 0 0 21.5 0.0 0.0070979544 0.0014674901 0.00024042133 0.0029353676 0.00086316746 0.00036621094 -0.00027295752 0.9999995 -0.026114488 0.002004336 -0.019700404 0.01347 0.05247 1.01764 0.17063 0.04498 0.26437 0.03179407 0.61
79 0 0 21.5 0.0 0.010921062 0.0023492887 0.00030382094 0.0039239954 0.0010500886 0.00017263349 -0.00034526698 0.9999994 -0.026114488 0.002004336 -0.019700404 0.01347 0.05247 1.01764 0.17063 0.04498 0.26437 0.028143883 0.6
80 0 0 21.5 0.0 0.014706701 0.0030865476 0.0004060908 0.0038581176 0.0013372133 0.0 -0.00051790045 0.999999 -0.034284726 0.0073113586 -0.02048301 0.01256 -0.01025 1.01779 0.20418 0.06236 0.29117 0.027930021 0.55
81 0 0 21.5 0.0 0.017882923 0.0038330178 0.00053783786 0.0032654186 0.0012918707 -0.00017263349 -0.00048828125 0.99999905 -0.034284726 0.0073113586 -0.02048301 0.01256 -0.01025 1.01779 0.20418 0.06236 0.29117 0.029418945 0.55
82 0 0 21.5 0.0 0.025344476 0.005642905 0.00070469256 0.007679735 0.0015197631 -0.00027295752 -0.00055939646 0.9999986 -0.034284726 0.0073113586 -0.02048301 0.01256 -0.01025 1.01779 0.20418 0.06236 0.29117 0.030189991 0.5
83 0 0 21.5 0.0 0.03127529 0.006966472 0.00078239513 0.0060772058 0.0016331895 -0.00034526698 -0.0006224389 0.9999984 -0.034284726 0.0073113586 -0.02048301 0.01256 -0.01025 1.01779 0.20418 0.06236 0.29117 0.048777103 0.5
84 0 0 21.5 0.0 0.038053196 0.008458547 0.0008976654 0.006941149 0.001642288 -0.00044013077 -0.00080046855 0.9999982 -0.034284726 0.0073113586 -0.02048301 0.01256 -0.01025 1.01779 0.20418 0.06236 0.29117 0.028435946 0.48
85 0 0 21.5 0.0 0.044886008 0.009833842 0.0010829474 0.0069723087 0.0018432213 -0.00061035156 -0.001151609 0.99999744 -0.034284726 0.0073113586 -0.02048301 0.01256 -0.01025 1.01779 0.20418 0.06236 0.29117 0.029356956 0.46
86 0 0 21.5 0.0 0.05200482 0.010927088 0.0013148504 0.0072060027 0.0022208747 -0.00076232885 -0.001747781 0.9999957 -0.034284726 0.0073113586 -0.02048301 0.01256 -0.01025 1.01779 0.20418 0.06236 0.29117 0.037060976 0.47
87 0 0 21.5 0.0 0.05966974 0.012195582 0.0016287941 0.007775515 0.0026855469 -0.0010139921 -0.0024626758 0.99999285 -0.034284726 0.0073113586 -0.02048301 0.01256 -0.01025 1.01779 0.20418 0.06236 0.29117 0.038499117 0.81
88 0 0 21.5 0.0 0.06803764 0.013529686 0.0018675489 0.00847694 0.0030025328 -0.0013147375 -0.0030149142 0.99999005 -0.041061662 0.022811977 -0.011014598 0.01669 0.00177 1.02156 0.20254 0.06202 0.28671 0.03328204 0.74
89 0 0 21.5 0.0 0.07731287 0.015210842 0.002025424 0.009427685 0.0030833327 -0.0016468186 -0.0031360432 0.999989 -0.041061662 0.022811977 -0.011014598 0.01669 0.00177 1.02156 0.20254 0.06202 0.28671 0.028949976 0.69
90 0 0 21.5 0.0 0.08672442 0.01716746 0.002125734 0.009613304 0.0031121946 -0.00209307 -0.0030444248 0.9999883 -0.041061662 0.022811977 -0.011014598 0.01669 0.00177 1.02156 0.20254 0.06202 0.28671 0.031381845 0.69
